SEscAcc	SEscF1w	SEscF1m	SEscRecall	SEscPrecision	SEsAcc	SEsF1w	SEsF1m	SEsRecall	SEsPrecision	SEsksAcc	SEsksF1w	SEsksF1m	SEsksRecall	SEsksPrecision	DVscAcc	DVscF1w	DVscF1m	DVscmaxAcc	DVscmaxF1w	DVscmaxF1m	DVscRecall	DVscPrecision	DVsAcc	DVsF1w	DVsF1m	DVsmaxAcc	DVsmaxF1w	DVsmaxF1m	DVsRecall	DVsPrecision	DVsksAcc	DVsksF1w	DVsksF1m	DVsksmaxAcc	DVsksmaxF1w	DVsksmaxF1m	DVsksRecall	DVsksPrecision	SEscF1bin	SEsF1bin	SEsksF1bin	DVscF1bin	DVsF1bin	DVsksF1bin
0.589	0.589433	0.588984	0.507675	0.70873	0.612	0.61046	0.611635	0.529126	0.692063	0.587333	0.587118	0.587329	0.506358	0.695238	0.9393146	0.9414224	0.6944864	0.957022	0.961221	0.739282	0.477915	0.3884834	0.9369336	0.9376102	0.6944936	0.957425	0.962045	0.750916	0.439673	0.4145162	0.9319306	0.9327092	0.6762176	0.95582	0.96038	0.716465	0.422934	0.3825744	0.591587	0.585953	0.599725	0.428583534113175	0.4267241524538123	0.401743101101367
0.589	0.589433	0.588984	0.507675	0.70873	0.645	0.646546	0.632699	0.581864	0.55	0.592	0.590991	0.591877	0.510664	0.684127	0.9393146	0.9414224	0.6944864	0.957022	0.961221	0.739282	0.477915	0.3884834	0.937095	0.9377848	0.6953722	0.958232	0.962918	0.750916	0.4427452	0.4155212	0.9387894	0.9409234	0.6955452	0.95582	0.96038	0.726884	0.464539	0.3996486	0.591587	0.584804	0.565483	0.428583534113175	0.428701430693873	0.4296575442540486
0.589	0.589433	0.588984	0.507675	0.70873	0.645	0.646546	0.632699	0.581864	0.55	0.596	0.594681	0.595767	0.514388	0.680952	0.9395158	0.9407984	0.7036836	0.954004	0.957948	0.739282	0.4643284	0.4212188	0.942502	0.9452954	0.7027596	0.957425	0.960716	0.750916	0.4954748	0.3946034	0.9394356	0.9410746	0.7020054	0.957627	0.96056	0.72948	0.4771752	0.4080184	0.591587	0.586065	0.565483	0.4417242840447578	0.439323287985977	0.4398953214837523
0.589	0.589433	0.588984	0.507675	0.70873	0.645	0.646546	0.632699	0.581864	0.55	0.596	0.594681	0.595767	0.514388	0.680952	0.9395158	0.9407984	0.7036836	0.954004	0.957948	0.739282	0.4643284	0.4212188	0.9421388	0.9444194	0.7050186	0.957425	0.960716	0.750916	0.4936598	0.4053178	0.9381444	0.9384168	0.7073396	0.957627	0.96056	0.752527	0.4640046	0.4411976	0.591587	0.586065	0.565483	0.4417242840447578	0.445148141810074	0.452313783393279
0.608333	0.609823	0.608161	0.523572	0.749206	0.645	0.646546	0.632699	0.581864	0.55	0.605667	0.609647	0.604743	0.520424	0.778571	0.9394754	0.9405658	0.7048578	0.954004	0.957948	0.739282	0.4642178	0.4258106	0.9409686	0.9426396	0.7052428	0.957425	0.960716	0.750916	0.4803578	0.4154096	0.9381444	0.9384168	0.7073396	0.957627	0.96056	0.752527	0.4640046	0.4411976	0.616389	0.623847	0.565483	0.444185511268359	0.445529144183814	0.452313783393279
0.608333	0.609823	0.608161	0.523572	0.749206	0.645	0.646546	0.632699	0.581864	0.55	0.605667	0.609647	0.604743	0.520424	0.778571	0.939637	0.9404958	0.7084338	0.956215	0.958118	0.741538	0.4706356	0.4347606	0.9406862	0.9420942	0.7067904	0.956013	0.958796	0.750916	0.477176	0.4224448	0.9361674	0.935205	0.7092646	0.957627	0.96056	0.752527	0.4588218	0.4626262	0.616389	0.623847	0.565483	0.451987352801702	0.4481455295048759	0.4607161463504397
0.608333	0.609823	0.608161	0.523572	0.749206	0.645	0.646546	0.632699	0.581864	0.55	0.613667	0.612022	0.613228	0.530811	0.690476	0.9409282	0.9423746	0.7087974	0.956215	0.958118	0.743356	0.4783272	0.4254584	0.9406862	0.9420942	0.7067904	0.956013	0.958796	0.750916	0.477176	0.4224448	0.9352796	0.9338702	0.7092662	0.953188	0.955208	0.752527	0.4485574	0.4706664	0.616389	0.600207	0.565483	0.450346465330893	0.4481455295048759	0.4593460192204771
0.623667	0.621487	0.622525	0.541587	0.676984	0.645	0.646546	0.632699	0.581864	0.55	0.636	0.633945	0.63165	0.559406	0.627778	0.9409282	0.9423746	0.7087974	0.956215	0.958118	0.743356	0.4783272	0.4254584	0.9393546	0.9397314	0.7108516	0.956013	0.957989	0.750916	0.4630346	0.446941	0.9353604	0.933926	0.7101118	0.953592	0.955208	0.752527	0.4498022	0.4726764	0.601763	0.591623	0.565483	0.450346465330893	0.4548454863154572	0.4609557004532788
0.623667	0.621487	0.622525	0.541587	0.676984	0.645	0.646546	0.632699	0.581864	0.55	0.636	0.633945	0.63165	0.559406	0.627778	0.9409282	0.9423746	0.7087974	0.956215	0.958118	0.743356	0.4783272	0.4254584	0.9393546	0.9397314	0.7108516	0.956013	0.957989	0.750916	0.4630346	0.446941	0.9353604	0.933926	0.7101118	0.953592	0.955208	0.752527	0.4498022	0.4726764	0.601763	0.591623	0.565483	0.450346465330893	0.4548454863154572	0.4609557004532788
0.623667	0.621487	0.622525	0.541587	0.676984	0.645	0.646546	0.632699	0.581864	0.55	0.636	0.633945	0.63165	0.559406	0.627778	0.9393548	0.9398308	0.7109438	0.956215	0.958118	0.743356	0.464662	0.4465592	0.9393546	0.9397314	0.7108516	0.956013	0.957989	0.750916	0.4630346	0.446941	0.9353604	0.933926	0.7101118	0.953592	0.955208	0.752527	0.4498022	0.4726764	0.601763	0.591623	0.565483	0.4554307801232018	0.4548454863154572	0.4609557004532788
