Crop Name, France Absolute Occurrence, France Relative Occurrence, Slovenia Absolute Occurrence, Slovenia Relative Occurrence
Meadow, 114669, 0.5790603254118146, 152729, 0.6126067947535198
Winter Durum Wheat, 170, 0.0008584731297910375, 0, 0
Spring Cereal, 563, 0.0028430610121903187, 0, 0
Summer Cereal, 21533, 0.10873824649288477, 0, 0
Winter Cereal, 23059, 0.11644430529324432, 0, 0
Sorghum/Millet/Moha, 211, 0.001065516649328876, 488, 0.001957402430708756
Cereal, 731, 0.0036914344581014612, 56890, 0.22818980385864987
Leguminous Fodder, 2740, 0.013836566915455546, 73, 0.00029280815049536723
Other Fodder, 116, 0.0005857816650338845, 0, 0
Winter Rapeseed, 4099, 0.020699302111843898, 2090, 0.00838313745938791
Sunflower, 668, 0.003373294415884783, 355, 0.0014239300469295255
Soy, 3074, 0.015523214123397938, 0, 0
Protein Crop, 361, 0.0018229929403209679, 0, 0
Potato, 293, 0.0014796036884045529, 5712, 0.0229112350086238
Fruits/Vegetables/Flowers, 804, 0.0040600729197176125, 4431, 0.017773053628013315
Ligneous, 467, 0.0023582761859553794, 0, 0
Orchards, 174, 0.0008786724975508266, 14763, 0.059215434599494604
Grapevine, 18590, 0.09387656166361993, 11779, 0.04724640006417713
Non-agricultural Surface, 5535, 0.027950875137608192, 0, 0
Wood, 169, 0.0008534232878510903, 0, 0
