Crop Name, Absolute Occurrence, Relative Occurrence
Meadow, 114669, 0.5790603254118146
Winter Durum Wheat, 170, 0.0008584731297910375
Spring Cereal, 563, 0.0028430610121903187
Summer Cereal, 21533, 0.10873824649288477
Winter Cereal, 23059, 0.11644430529324432
Sorghum/Millet/Moha, 211, 0.001065516649328876
Cereal, 731, 0.0036914344581014612
Leguminous Fodder, 2740, 0.013836566915455546
Other Fodder, 116, 0.0005857816650338845
Winter Rapeseed, 4099, 0.020699302111843898
Sunflower, 668, 0.003373294415884783
Soy, 3074, 0.015523214123397938
Protein Crop, 361, 0.0018229929403209679
Potato, 293, 0.0014796036884045529
Fruits/Vegetables/Flowers, 804, 0.0040600729197176125
Ligneous, 467, 0.0023582761859553794
Orchards, 174, 0.0008786724975508266
Grapevine, 18590, 0.09387656166361993
Non-agricultural Surface, 5535, 0.027950875137608192
Wood, 169, 0.0008534232878510903
