Crop Name, Absolute Occurrence, Relative Occurrence
Meadow, 152729, 0.4847077865405671
Maize, 56007, 0.17774639394468336
Wheat/Spelt, 23542, 0.07471397515035148
Barley, 20299, 0.06442184103206969
Fruit, 14763, 0.04685253653660007
Vineyards, 11779, 0.037382376743521795
Plants harvested green, 6797, 0.02157127215601644
Cucurbits, 6161, 0.019552833272505118
Potatoes, 5712, 0.018127866199082816
Fresh Vegetables/Melons/Strawberries, 4319, 0.0137069772608261
Triticale, 4130, 0.013107158158650566
Winter Rapeseed/Turnip Rapeseed, 2090, 0.006632920230406703
Oats, 1297, 0.004116218918104064
Rye, 1221, 0.0038750218188165473
Leguminous Plants, 1008, 0.00319903521160285
Other Cereal, 883, 0.0028023294561957506
Nuts, 736, 0.0023358034878370017
Hop, 633, 0.0020089179453815515
Rapeseed/Turnip Rapeseed, 501, 0.0015899966676716545
Millet, 488, 0.0015487392691093161
